Date,BR.TP
05/01/2009,3.21
12/01/2009,4.36
20/01/2009,4.36
26/01/2009,2.83
02/02/2009,3.64
10/02/2009,2.88
16/02/2009,2.88
23/02/2009,3.64
03/03/2009,5.53
09/03/2009,4.39
16/03/2009,5.15
23/03/2009,4.39
30/03/2009,6.67
07/04/2009,8.18
15/04/2009,4.77
20/04/2009,3.64
27/04/2009,5.91
05/05/2009,7.42
11/05/2009,5.53
18/05/2009,7.05
25/05/2009,7.8
04/06/2009,5.53
08/06/2009,4.39
15/06/2009,4.02
22/06/2009,4.77
29/06/2009,3.64
07/07/2009,13.3
13/07/2009,9.32
29/07/2009,9.7
04/08/2009,13.86
10/08/2009,9.7
17/08/2009,10.45
24/08/2009,11.59
31/08/2009,14.24
14/09/2009,9.32
21/09/2009,10.08
06/01/2010,15.9
08/03/2010,8.19
07/04/2010,11.49
26/04/2010,7.82
04/05/2010,7.45
14/06/2010,6.35
05/07/2010,8.92
09/08/2010,18.46
06/09/2010,25.81
08/11/2010,352.89
22/11/2010,86.01
14/12/2010,6.35
05/01/2011,15.9
07/02/2011,24.71
14/03/2011,76.47
05/04/2011,15.53
03/05/2011,3.41
13/06/2011,8.55
21/07/2011,11.12
03/01/2012,7
05/03/2012,2
26/03/2012,4
16/04/2012,4
14/05/2012,3
05/06/2012,2
02/07/2012,13
28/08/2012,7
01/10/2012,1
06/11/2012,3
03/12/2012,2
21/01/2013,5
04/02/2013,4
04/03/2013,2
08/04/2013,2
07/05/2013,7
04/06/2013,4
10/06/2013,5
01/07/2013,10
06/08/2013,8
02/09/2013,7
07/10/2013,8
29/10/2013,10
02/12/2013,5
06/01/2014,8
03/02/2014,6
03/03/2014,6
07/04/2014,7
06/05/2014,7
03/06/2014,12
07/07/2014,10
10/09/2014,7
26/01/2015,2
02/02/2015,3
19/03/2015,3
08/04/2015,3
25/05/2015,4
08/06/2015,18
06/07/2015,3
04/08/2015,12
31/08/2015,7
14/09/2015,13
05/10/2015,5
03/11/2015,7
07/12/2015,11
04/01/2016,8
01/02/2016,5
07/03/2016,4
04/04/2016,4
03/05/2016,7
07/06/2016,6
13/06/2016,3
04/07/2016,10
02/08/2016,6
05/09/2016,13
03/10/2016,9
05/12/2016,6
03/01/2017,5
05/02/2017,3
13/02/2017,5
06/03/2017,5
03/04/2017,6
02/05/2017,2
15/05/2017,50
06/06/2017,7
12/06/2017,7
10/07/2017,5
08/08/2017,8
04/09/2017,10
02/10/2017,6
31/10/2017,19
04/12/2017,6
03/01/2018,4
12/03/2018,3
18/04/2018,4
15/05/2018,6
05/06/2018,5
02/07/2018,5
02/08/2018,13
03/09/2018,8
01/10/2018,5
10/12/2018,6
02/01/2019,7
04/02/2019,9
04/03/2019,7
01/04/2019,3
07/05/2019,3
04/06/2019,8
01/07/2019,7
06/08/2019,16
09/09/2019,13
07/10/2019,9
04/11/2019,9
02/12/2019,6
06/01/2020,8
03/02/2020,3
02/03/2020,5
06/04/2020,6
05/05/2020,3
02/06/2020,6
06/07/2020,6
04/08/2020,12
31/08/2020,9
05/10/2020,9
02/11/2020,9
