Date,Chl.a
18/04/2007,0.79
26/04/2007,1.64
15/05/2007,1.11
06/06/2007,1.7
05/07/2007,1.51
17/07/2007,2.03
08/08/2007,1.64
14/08/2007,1.9
13/09/2007,1.96
26/09/2007,1.18
02/10/2007,1.18
15/10/2007,0.98
24/10/2007,0.98
31/10/2007,1.11
09/11/2007,0.92
16/11/2007,0.85
21/11/2007,0.92
28/11/2007,0.65
14/12/2007,0.65
08/01/2008,0.52
01/02/2008,0
08/02/2008,0
12/02/2008,0.18
28/02/2008,0.06
18/03/2008,0.42
26/03/2008,0.54
31/03/2008,0.67
03/04/2008,0.54
16/04/2008,0.71
29/04/2008,1.25
30/04/2008,2.8
13/05/2008,1.25
23/05/2008,1.49
03/06/2008,1.31
12/06/2008,1.61
23/06/2008,2.08
08/07/2008,1.13
21/07/2008,1.96
07/08/2008,2.56
15/08/2008,2.5
28/08/2008,1.79
18/09/2008,0.89
26/09/2008,1.13
03/10/2008,1.37
24/10/2008,0.95
04/11/2008,1.01
25/11/2008,0
03/12/2008,0.36
08/12/2008,0.24
15/01/2009,0.36
26/01/2009,0.42
19/02/2009,0.3
25/02/2009,0.3
02/03/2009,0.18
10/03/2009,0.36
01/04/2009,0.71
16/04/2009,0.89
29/04/2009,1.73
12/05/2009,1.84
22/05/2009,1.19
26/05/2009,1.19
11/06/2009,1.37
22/06/2009,2.14
06/07/2009,3.21
22/07/2009,2.02
04/08/2009,1.73
17/08/2009,1.25
27/08/2009,0.77
07/09/2009,0.42
30/09/2009,0.63
08/10/2009,0.48
21/10/2009,0.48
06/11/2009,0.48
19/11/2009,0.32
04/12/2009,0.24
22/12/2009,0.18
06/01/2010,0.18
20/01/2010,0
02/02/2010,0.24
11/02/2010,0.18
25/02/2010,0.3
05/03/2010,0.18
15/03/2010,0.18
19/03/2010,0.3
22/03/2010,0.3
24/03/2010,0.24
07/04/2010,0.6
19/04/2010,0.65
04/05/2010,1.43
19/05/2010,2.08
25/05/2010,1.73
01/06/2010,1.25
09/06/2010,1.25
05/07/2010,1.79
12/07/2010,1.9
22/07/2010,1.07
05/08/2010,1.07
09/08/2010,0.24
16/08/2010,1.01
06/09/2010,1.19
22/09/2010,0.87
08/10/2010,0.52
26/10/2010,0.16
08/11/2010,0.24
15/11/2010,0.18
02/12/2010,0.12
08/12/2010,0.12
13/12/2010,0.3
10/01/2011,0.12
17/01/2011,0.18
24/01/2011,0.18
08/02/2011,0.18
15/02/2011,0.24
22/02/2011,0.18
08/03/2011,0.3
21/03/2011,0.24
28/03/2011,0.71
18/04/2011,0.71
28/04/2011,0.95
16/05/2011,1.07
31/05/2011,0.83
07/06/2011,0.94
09/06/2011,0.95
13/06/2011,0.95
28/06/2011,1.11
11/07/2011,0.95
21/07/2011,1.07
12/08/2011,1.67
22/08/2011,1.01
31/08/2011,0.89
08/09/2011,1.19
19/09/2011,0.87
27/09/2011,0.63
10/10/2011,0.56
25/10/2011,0.35
07/11/2011,0.18
22/11/2011,0.3
07/12/2011,0.18
23/12/2011,0.24
09/01/2012,0.18
18/01/2012,0
27/01/2012,0
08/02/2012,0
28/02/2012,0.24
12/03/2012,0.06
23/03/2012,0.12
04/04/2012,0.3
10/04/2012,0.42
23/04/2012,0.54
24/05/2012,1.61
12/06/2012,0.77
19/06/2012,0.95
09/07/2012,1.13
16/07/2012,1.61
24/07/2012,0.83
07/08/2012,1.67
23/08/2012,1.9
04/09/2012,1.31
18/09/2012,0.89
24/10/2012,0.72
14/11/2012,0.71
12/12/2012,0.48
16/01/2013,0.357
19/02/2013,1.369
20/03/2013,0.119
11/04/2013,0.952
15/04/2013,0.893
18/04/2013,0.893
22/04/2013,1.071
25/04/2013,1.071
02/05/2013,1.19
07/05/2013,1.666
09/05/2013,1.607
