Date,F.Colour
15/01/2009,85
26/01/2009,78
19/02/2009,72
25/02/2009,70
02/03/2009,79
10/03/2009,73
01/04/2009,80
16/04/2009,63
29/04/2009,75
12/05/2009,74
22/05/2009,74
26/05/2009,73
11/06/2009,73
22/06/2009,64
24/06/2009,67
06/07/2009,81
22/07/2009,78
04/08/2009,83
17/08/2009,91
27/08/2009,75
07/09/2009,110
30/09/2009,108
08/10/2009,108
22/10/2009,88
06/11/2009,103
19/11/2009,96
04/12/2009,82
22/12/2009,92
06/01/2010,86
02/02/2010,95
11/02/2010,73
25/02/2010,88
05/03/2010,90
15/03/2010,84
19/03/2010,86
22/03/2010,86
07/04/2010,78
19/04/2010,75
04/05/2010,78
19/05/2010,69
01/06/2010,74
09/06/2010,71
11/06/2010,73
05/07/2010,77
12/07/2010,76
22/07/2010,91
05/08/2010,97
09/08/2010,99
06/09/2010,97
22/09/2010,106
08/10/2010,97
26/10/2010,101
08/11/2010,114
15/11/2010,113
02/12/2010,114
08/12/2010,92
13/12/2010,96
10/01/2011,111
17/01/2011,103
24/01/2011,86
08/02/2011,95
15/02/2011,74
22/02/2011,86
08/03/2011,102
21/03/2011,80
28/03/2011,75
18/04/2011,64
28/04/2011,62
17/05/2011,104
31/05/2011,93
07/06/2011,101
09/06/2011,95
28/06/2011,84
11/07/2011,105
21/07/2011,84
12/08/2011,79
22/08/2011,93
31/08/2011,86
08/09/2011,95
19/09/2011,99
10/10/2011,111
25/10/2011,98
07/11/2011,77
22/11/2011,95
22/12/2011,88
18/01/2012,78
27/01/2012,73
08/02/2012,97
28/02/2012,82
12/03/2012,80
22/03/2012,75
04/04/2012,74
10/04/2012,67
23/04/2012,75
24/05/2012,67
09/07/2012,78.6
16/07/2012,77
07/08/2012,86.3
23/08/2012,93.6
18/09/2012,155
01/11/2012,92
12/11/2012,91
12/12/2012,82.3
16/01/2013,88
19/02/2013,72
20/03/2013,66
22/04/2013,74
22/05/2013,67
24/06/2013,63
23/07/2013,80
15/08/2013,85
13/09/2013,74
14/10/2013,81
06/11/2013,86
21/11/2013,85
17/12/2013,86
14/01/2014,64
14/02/2014,39
26/03/2014,62
01/05/2014,63
21/05/2014,34
19/06/2014,60
30/07/2014,45
26/08/2014,74
17/09/2014,71
09/10/2014,69
13/10/2014,80
20/10/2014,81
25/11/2014,92
15/12/2014,86
18/02/2015,74
16/03/2015,63
15/04/2015,52
20/05/2015,56
25/06/2015,75
28/07/2015,76
25/08/2015,77
21/09/2015,97
02/11/2015,96
30/11/2015,86
18/02/2016,58
14/03/2016,54
19/04/2016,54
16/05/2016,72
20/06/2016,59
12/07/2016,48
10/08/2016,80
13/09/2016,111
18/10/2016,96
13/12/2016,187
16/01/2017,92
27/02/2017,112
27/03/2017,70
04/05/2017,79
08/06/2017,68
17/07/2017,90
10/08/2017,79
20/09/2017,99
25/10/2017,108
15/11/2017,95
18/12/2017,93
23/01/2018,90
07/03/2018,66
03/04/2018,66
01/05/2018,76
28/05/2018,60
26/06/2018,43
24/07/2018,37
21/08/2018,66
29/08/2018,81
17/09/2018,95
17/10/2018,118
14/01/2019,148
28/01/2019,94
18/02/2019,74
28/05/2019,44
20/08/2019,78
19/09/2019,120
15/10/2019,118
16/12/2019,71
21/01/2020,84
25/02/2020,75
25/03/2020,81
21/04/2020,72
20/05/2020,62
24/06/2020,53
17/07/2020,34
12/08/2020,64
14/09/2020,87
16/10/2020,90
16/11/2020,98
15/12/2020,85
