Date,F.TN
15/01/2009,0.0978
26/01/2009,0.1312
19/02/2009,0.1251
25/02/2009,0.1469
02/03/2009,0.1244
10/03/2009,0.1005
01/04/2009,0.0996
16/04/2009,0.1034
29/04/2009,0.1064
12/05/2009,0.1023
22/05/2009,0.108
26/05/2009,0.0909
11/06/2009,0.1027
22/06/2009,0.1002
06/07/2009,0.2528
15/03/2010,0.177
07/04/2010,0.176
04/05/2010,0.178
09/08/2010,0.202
22/09/2010,0.223
27/10/2010,0.195
15/11/2010,0.383
08/12/2010,0.152
08/02/2011,0.131
08/03/2011,0.239
28/04/2011,0.13
28/06/2011,0.176
11/07/2011,0.188
12/08/2011,0.169
19/02/2012,0.297
24/05/2012,0.311
19/06/2012,0.437
09/07/2012,0.338
07/08/2012,0.433
18/09/2012,0.485
24/10/2012,0.338
15/11/2012,0.285
12/12/2012,0.352
16/01/2013,0.381
20/03/2013,0.365
22/04/2013,0.376
27/05/2013,0.332
24/06/2013,0.361
23/07/2013,0.333
15/08/2013,0.378
13/09/2013,0.528
14/10/2013,0.601
21/11/2013,0.36
17/12/2013,0.393
14/01/2014,0.324
14/02/2014,0.322
26/03/2014,0.265
01/05/2014,0.349
21/05/2014,0.318
19/06/2014,0.31
30/07/2014,0.394
26/08/2014,0.32
17/09/2014,0.274
13/10/2014,0.33
25/11/2014,0.338
15/12/2014,0.297
16/01/2015,0.254
18/02/2015,0.325
16/03/2015,0.29
15/04/2015,0.23
20/05/2015,0.357
25/06/2015,0.269
28/07/2015,0.319
25/08/2015,0.314
21/09/2015,0.39
02/11/2015,0.383
30/11/2015,0.524
11/01/2016,0.33
18/02/2016,0.322
14/03/2016,0.349
19/04/2016,0.282
16/05/2016,0.479
20/06/2016,0.309
08/07/2016,0.383
11/07/2016,0.393
10/08/2016,0.441
13/09/2016,0.458
19/10/2016,0.439
15/11/2016,0.51
13/12/2016,0.463
16/01/2017,0.426
17/02/2017,0.456
28/03/2017,0.426
04/05/2017,0.481
17/07/2017,0.441
14/08/2017,0.483
20/09/2017,0.559
25/10/2017,0.472
16/11/2017,0.467
18/12/2017,0.498
23/01/2018,0.454
07/03/2018,0.453
20/03/2018,0.385
03/04/2018,0.429
01/05/2018,0.374
28/05/2018,0.426
26/06/2018,0.409
05/07/2018,0.363
24/07/2018,0.345
21/08/2018,0.44
17/09/2018,0.417
17/10/2018,0.451
08/11/2018,0.423
18/12/2018,0.438
14/01/2019,0.396
18/02/2019,0.433
25/03/2019,0.401
16/04/2019,0.358
14/05/2019,0.461
19/06/2019,0.472
17/07/2019,0.452
20/08/2019,0.506
19/09/2019,0.493
15/10/2019,0.478
19/11/2019,0.578
16/12/2019,0.412
21/01/2020,0.624
25/02/2020,0.6
25/03/2020,0.411
21/04/2020,0.447
20/05/2020,0.372
24/06/2020,0.494
17/07/2020,0.389
12/08/2020,0.419
14/09/2020,0.426
16/10/2020,0.486
16/11/2020,0.423
