Date,GR.TN
05/01/2009,0.334
12/01/2009,0.342
20/01/2009,0.245
26/01/2009,0.228
02/02/2009,0.215
10/02/2009,0.39
16/02/2009,0.319
23/02/2009,0.327
03/03/2009,0.281
09/03/2009,0.31
16/03/2009,0.212
23/03/2009,0.12
30/03/2009,0.335
07/04/2009,0.29
15/04/2009,0.307
20/04/2009,0.238
27/04/2009,0.297
05/05/2009,0.264
11/05/2009,0.224
18/05/2009,0.293
25/05/2009,0.326
04/06/2009,0.221
08/06/2009,0.161
15/06/2009,0.159
22/06/2009,0.336
29/06/2009,0.262
07/07/2009,0.62
13/07/2009,0.385
27/07/2009,0.373
04/08/2009,0.351
10/08/2009,0.421
17/08/2009,0.361
24/08/2009,0.359
31/08/2009,0.367
14/09/2009,0.292
21/09/2009,0.336
24/03/2010,0.137
17/05/2010,0.095
14/06/2010,0.299
19/07/2010,0.16
16/08/2010,0.241
13/09/2010,0.555
14/12/2010,0.126
28/02/2011,0.114
14/03/2011,0.077
23/05/2011,0.268
21/07/2011,0.113
15/08/2011,0.164
12/09/2011,0.123
30/01/2012,0.233
05/03/2012,0.287
26/03/2012,0.165
05/06/2012,0.299
02/07/2012,0.309
03/12/2012,0.329
04/02/2013,0.247
04/03/2013,0.197
08/04/2013,0.213
07/05/2013,0.317
10/06/2013,0.247
03/07/2013,0.443
06/08/2013,0.393
02/09/2013,0.348
07/10/2013,0.442
29/10/2013,0.403
02/12/2013,0.376
06/01/2014,0.279
03/02/2014,0.271
03/03/2014,0.246
07/04/2014,0.307
06/05/2014,0.51
07/07/2014,0.53
10/09/2014,0.134
26/01/2015,0.084
02/02/2015,0.125
19/03/2015,0.12
08/04/2015,0.082
25/05/2015,0.182
03/06/2015,0.39
08/06/2015,0.125
06/07/2015,0.159
04/08/2015,0.284
31/08/2015,0.256
14/09/2015,0.362
05/10/2015,0.222
03/11/2015,0.266
07/12/2015,0.173
04/01/2016,0.217
01/02/2016,0.278
07/03/2016,0.292
04/04/2016,0.339
03/05/2016,0.479
07/06/2016,0.287
13/06/2016,0.57
04/07/2016,0.392
02/08/2016,0.473
05/09/2016,0.466
03/10/2016,0.402
03/11/2016,0.482
05/12/2016,0.377
03/01/2017,0.573
13/02/2017,0.311
06/03/2017,0.302
03/04/2017,0.353
02/05/2017,0.204
15/05/2017,0.49
06/06/2017,0.31
12/06/2017,0.314
10/07/2017,0.316
08/08/2017,0.308
04/09/2017,0.401
02/10/2017,0.226
31/10/2017,0.298
04/12/2017,0.23
03/01/2018,0.144
05/02/2018,0.135
12/03/2018,0.26
08/04/2018,0.219
15/05/2018,0.249
05/06/2018,0.206
02/07/2018,0.221
02/08/2018,0.586
03/09/2018,0.535
01/10/2018,0.314
10/12/2018,0.366
02/01/2019,0.414
04/02/2019,0.384
04/03/2019,0.334
01/04/2019,0.224
07/05/2019,0.353
04/06/2019,0.569
01/07/2019,0.444
06/08/2019,0.58
09/09/2019,0.526
07/10/2019,0.401
04/11/2019,0.448
02/12/2019,0.368
06/01/2020,0.672
03/02/2020,0.252
02/03/2020,0.786
06/04/2020,1.181
05/05/2020,0.231
02/06/2020,0.278
06/07/2020,0.381
04/08/2020,0.698
31/08/2020,0.414
05/10/2020,0.368
02/11/2020,0.237
