Date,Ciliates,Cyano,Diatoms,Chloro,Crypto,Chryso,Hapto,Dino,Season,Year
24/10/2012,1.220641816,1.369732202,2.823108843,2.069143525,1.810302163,0.865061545,0.865061545,0.865061545,Autumn,2012
12/12/2012,1.287754788,1.024113689,2.997868099,1.347809413,1.530710588,0.86117353,1.491596308,1.024113689,Winter,2012
19/02/2013,0.974003746,2.199868508,2.86707121,1.281861019,1.377449308,0,0,1.158292185,Winter,2013
20/03/2013,0.927487211,0,3.114730529,0.927487211,1.385038848,0,0,0.927487211,Spring,2013
22/04/2013,0.872683969,1.397112068,2.993031312,1.56508458,1.737795665,0,0.692519424,0.316227766,Spring,2013
27/05/2013,0.790252997,0,3.05688029,1.017058525,1.818256047,0,0.668740305,0.562341325,Spring,2013
24/06/2013,0.763606698,0,2.762993643,1.244665955,2.490141843,0.714074192,0,0.714074192,Summer,2013
23/07/2013,0.904729394,0.823549026,1.12468265,1.222014097,2.444199422,2.775121365,0,0.447213595,Summer,2013
13/09/2013,1.227457501,1.633503233,2.219562834,1.86004537,2.70728515,0,0.752120619,0.752120619,Autumn,2013
14/10/2013,1.349846923,0,2.927606691,1.9735421,1.684937362,0,0,0,Autumn,2013
21/11/2013,1.081882614,0,2.979135189,1.196570978,2.054309998,0,0,0,Autumn,2013
17/12/2013,1.509356535,0,2.952300306,1.067789972,2.046187744,0,0,0,Winter,2013
14/01/2014,1.209493234,1.091621514,2.167211902,2.848540874,1.709481746,0,0,0,Winter,2014
14/02/2014,1.406190596,2.038853094,2.875730284,1.406190596,1.597332202,0,0,0,Winter,2014
25/03/2014,1.115791181,1.916829313,2.835033072,1.605247565,1.924591342,0,0,0,Spring,2014
01/05/2014,0.8532356,1.941891224,2.389118933,1.616609684,2.602165023,0,0,0,Spring,2014
21/05/2014,1.117586507,1.044447802,2.299299014,1.771123211,2.776991079,0,0,0,Spring,2014
19/06/2014,1.248537435,1.953731542,1.514420347,1.897366596,2.83700588,0,0,0,Summer,2014
30/07/2014,0.904729394,0,2.29765195,1.55587393,2.830413769,1.091621514,0,0,Summer,2014
26/08/2014,0.887356066,2.020616523,2.804254143,1.539007426,1.90174348,1.215105883,0,0,Summer,2014
