Date,Daphnia,Diaphanosoma,Calanoid,Nauplii,Cyclopoid,Ceriodaphnia,Bosmina,Season,Year
23/01/2004,2.580042044,0.666683129,1.27315821,1.952051627,1.957341789,0,2.205635125,Winter,2004
25/03/2004,2.555554662,0.906697742,1.071336015,1.960624215,1.644595294,0,2.401535709,Spring,2004
22/04/2004,2.62250101,0.985480261,1.35032314,2.103622664,1.356269224,0,2.246409209,Spring,2004
01/06/2004,2.121999721,0.909869983,1.510491358,2.153503118,1.398460147,0,2.638992665,Summer,2004
06/07/2004,1.589895552,2.192715665,2.56016935,1.821697582,1.918900444,0,1.311780076,Summer,2004
05/08/2004,1.054835859,2.646079946,2.428416462,1.820740284,1.365068445,0,0.840219319,Summer,2004
28/09/2004,0.503902116,2.41740436,2.6798964,1.860266324,1.147604557,0,0.839190085,Autumn,2004
15/11/2004,0.874245698,2.136696268,2.854778688,1.763050975,0.943027043,0,1.142028831,Autumn,2004
31/01/2005,1.542841985,0.391171862,2.442064051,2.612647848,0.874686874,0,1.84416317,Winter,2005
10/03/2005,1.473756204,0,2.333691314,2.763392086,0.679939254,0,1.632071398,Spring,2005
11/04/2005,1.663666165,1.039265177,1.61140981,2.938836656,0.817398773,0,1.750527125,Spring,2005
18/05/2005,1.850105052,1.169921851,2.123407991,2.481911171,1.01663741,0,2.280945711,Spring,2005
23/06/2005,1.564118884,1.742217612,2.79539845,1.699329823,1.472979721,0,1.8083044,Summer,2005
21/07/2005,0.704805435,2.876636529,2.044093961,1.806140458,1.189940063,0,1.040501346,Summer,2005
12/09/2005,1.722030294,2.796602107,1.881127726,1.728877468,1.69739839,0,0.728330139,Autumn,2005
19/10/2005,1.986884539,2.541653032,2.474437439,1.355565963,1.154231624,0,0.456138789,Autumn,2005
21/11/2005,2.102135144,1.826095444,2.67926647,2.015604868,0.913842023,0,0.887325565,Autumn,2005
04/01/2006,2.249014757,1.006349525,2.759058812,1.934926607,0.764660282,0,1.020044504,Winter,2006
02/02/2006,2.343212971,0,2.457038716,2.338473067,0.92373039,0,1.290654728,Winter,2006
27/02/2006,1.981624009,0.582431769,2.230255766,2.72760404,1.084027669,0,1.315189681,Winter,2006
28/03/2006,2.077017454,0,2.308246074,2.60623401,1.082967659,0,1.530630332,Spring,2006
29/04/2006,2.327483954,1.022477291,1.809970689,2.582467383,1.639973558,0,1.633396619,Spring,2006
24/05/2006,1.9134567,1.453912684,2.431897633,2.307508352,1.940375501,0,1.466287524,Spring,2006
29/06/2006,1.513652753,1.838192841,2.515279302,2.45545059,1.523025663,0,1.120228374,Summer,2006
28/07/2006,1.141810773,2.224899255,2.838792569,1.321017101,1.533080559,0,0.72955212,Summer,2006
14/09/2006,1.034315905,2.752116406,2.49645168,1.050111555,0.981994477,0,0.841197004,Autumn,2006
11/10/2006,1.259863264,2.769726302,1.831026261,1.914578134,1.682335782,0,1.561364201,Autumn,2006
07/11/2006,1.832079763,2.245483209,1.557355531,1.781374004,2.102513459,0.739528781,2.290350966,Autumn,2006
06/12/2006,1.955047222,1.557796271,1.194890066,2.468756663,1.614535642,0.943592182,2.391851897,Winter,2006
16/01/2007,1.863295111,1.211590561,1.150301599,2.203359679,1.79452109,0.828596122,2.654209862,Winter,2007
13/02/2007,1.734568979,0,1.193708926,2.413413424,1.607875448,0.982186142,2.623569888,Winter,2007
28/03/2007,1.801025442,0.652623712,1.031888693,2.396246294,2.202620571,0,2.371983738,Spring,2007
17/04/2007,1.362399718,0.853249821,1.107007654,2.78602165,1.74516188,0,2.236067977,Spring,2007
15/05/2007,2.008232166,1.028452661,1.634812656,2.370636594,1.920271957,0,2.346033092,Spring,2007
14/06/2007,1.618791873,1.065224958,2.506732413,2.385084973,1.576709349,0.541275685,1.925078813,Summer,2007
17/07/2007,1.088217998,2.093317321,2.609739629,2.248625612,1.422905197,0,1.352292035,Summer,2007
08/08/2007,0.899139635,2.816899089,2.06625989,1.810639305,1.603344562,0,0.945398015,Summer,2007
26/09/2007,0.728394199,2.419545095,2.382691689,2.354896584,1.25276177,0,0,Autumn,2007
24/10/2007,0.788396974,2.197274313,2.412423621,2.500370169,1.126398694,1.148280731,0,Autumn,2007
21/11/2007,0.95272528,1.707295437,2.519869988,2.565291325,1.124030555,1.487197323,0.867532722,Autumn,2007
14/12/2007,1.416382457,1.182672302,2.35042055,2.705839714,0.72709292,1.69307715,1.087257512,Winter,2007
08/01/2008,1.48094567,1.073718787,2.12800175,2.689751173,0.98709407,2.010206416,1.390108603,Winter,2008
08/02/2008,1.456293313,0.62225521,2.28395582,2.657152339,0,1.957830367,1.377277181,Winter,2008
18/03/2008,1.398958384,0,2.274533149,2.696104019,0,1.938499212,1.250559154,Spring,2008
16/04/2008,1.78526297,0.548168488,2.0601545,2.309360348,0.460952917,2.175339203,2.137061701,Spring,2008
13/05/2008,1.682968225,1.293396309,2.477688157,2.326396392,0,1.41793665,2.064306603,Spring,2008
10/06/2008,1.605921803,2.316397285,1.971792568,2.050389099,1.58880474,1.086852725,2.213363839,Summer,2008
08/07/2008,0.544937552,2.313756099,2.759962681,1.608978106,1.587376185,0,0.648043614,Summer,2008
15/08/2008,0.555391618,2.392746158,2.345341568,2.410773502,1.326081332,0,0,Summer,2008
18/09/2008,0.639543521,2.920736769,1.415542504,2.084007327,1.415542504,0.595162309,0.452225561,Autumn,2008
24/10/2008,1.094185759,2.297585563,2.207234255,2.522255845,1.30121349,1.281640794,0.981356942,Autumn,2008
04/11/2008,0,0.726737733,2.541195094,2.759901254,0,0,0,Autumn,2008
03/12/2008,1.090493824,1.319384917,2.144802011,2.870874935,1.213950047,1.279094613,1.127512063,Winter,2008
