sp1;sp2 ;sp3;sp4;sp5;sp6;sp7;sp8;sp9;sp10;sp11;sp12;sp13;sp14;sp15;sp16;sp17;sp18;sp19;sp20;sp21;sp22;sp23;sp24;sp25;sp26;sp27;sp28;sp29;sp30;sp31;sp32;sp33;sp34;sp35;sp36;sp37;sp38;sp39;sp40;sp41;sp42;sp43;sp44;sp45;sp46;sp47;sp48;sp49;sp50;sp51;sp52;sp53;sp54;sp55;sp56;sp57;sp58;sp59;sp60;sp61;sp62;sp63;sp64;sp65
12817.7;12063.7;0;104803.5;82938;52778.8;0;1508;2261.9;0;0;9047.8;34683.2;0;0;0;0;13571.7;0;6031.9;0;21111.5;754;5277.9;0;754;0;0;0;0;0;0;0;1508;754;0;1508;1508;2261.9;754;0;0;2261.9;0;1508;0;0;0;6031.9;0;0;3015.9;0;0;37699.1;0;0;0;0;0;0;0;0;22619.5;0
0;4523.9;0;25635.4;57302.7;0;0;1508;6785.8;0;0;3769.9;10555.8;0;0;0;0;0;0;0;0;7539.8;754;6031.9;0;0;0;0;0;0;0;0;0;0;0;1508;0;0;1508;754;0;754;754;0;0;0;0;0;3015.9;0;0;2261.9;0;0;7539.8;754;0;0;0;0;0;0;0;4523.9;0
0;2261.9;0;31667.3;9801.8;0;0;19603.5;0;0;0;754;9047.8;0;0;0;0;0;0;0;0;1508;754;0;6031.9;0;0;0;0;0;0;0;0;0;0;0;0;1508;1508;0;0;1508;0;0;754;0;0;1508;0;0;0;2261.9;754;0;3015.9;0;0;0;0;0;0;0;0;0;0
0;6785.8;0;36945.1;47500.9;0;0;0;0;0;0;754;10555.8;0;0;0;0;0;0;754;0;0;3015.9;0;0;0;0;0;0;0;0;0;0;0;754;0;0;0;754;0;0;0;0;0;754;0;0;0;0;0;0;1508;0;0;3015.9;0;0;0;0;0;0;0;0;0;0
22619.5;67858.4;0;287267.2;122145.1;0;40;2261.9;1508;754;0;3015.9;14325.7;0;0;0;0;30913.3;5277.9;754;0;2261.9;4523.9;0;1508;754;0;0;0;754;0;0;0;0;0;5277.9;1508;7539.8;0;0;0;1508;0;0;1508;0;0;1508;0;0;0;2261.9;5277.9;0;58810.6;0;0;0;0;0;0;0;0;15079.6;0
0;456159.3;0;69366.4;84446;0;0;0;1508;754;0;2261.9;2261.9;0;0;0;0;0;0;754;0;1508;11309.7;0;0;0;0;0;0;0;0;0;0;0;0;5277.9;2261.9;0;754;0;0;0;0;0;5277.9;0;0;0;3015.9;0;0;3769.9;4523.9;0;83692;0;0;0;0;0;0;0;1508;34683.2;0
0;431277.8;0;21865.5;7539.8;0;0;0;0;0;0;3015.9;754;0;0;0;0;0;0;5277.9;0;3769.9;7539.8;1508;0;0;8293.8;2261.9;0;0;0;0;0;3015.9;0;0;754;2261.9;2261.9;754;0;0;0;0;3015.9;0;0;0;0;0;0;2261.9;2261.9;0;332506.2;0;9047.8;0;0;0;0;0;0;27897.3;0
0;1396.264;0;1396.264;0;11868.244;698.132;7679.452;0;0;0;11170.112;1396.264;0;0;0;0;0;0;57944.956;0;1396.264;0;698.132;0;698.132;0;985064.252;0;0;0;0;0;0;0;1396.264;0;13962.64;0;0;0;0;0;0;9773.848;0;0;0;0;0;44680.448;0;4886.924;0;534769.112;0;0;0;10471.98;4886.924;0;1396.264;0;698.132;0
15079.6;5277.9;0;18849.6;0;0;0;1508;754;754;0;4523.9;23373.4;0;0;0;0;6031.9;4523.9;2261.9;0;3015.9;3769.9;754;0;0;0;0;0;754;0;0;0;0;1508;2261.9;0;2261.9;754;0;0;0;0;0;12817.7;0;0;0;3769.9;0;0;13571.7;4523.9;0;122899.1;0;0;0;0;754;0;40;0;0;0
0;4523.9;0;65596.5;35437.2;0;0;0;0;0;0;5277.9;21111.5;0;0;0;0;0;0;1508;0;5277.9;754;754;0;754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12817.7;0;0;0;5277.9;0;0;3015.9;754;0;11309.7;0;0;0;0;6031.9;0;40;0;0;0
0;0;0;47502;15080;0;0;0;0;0;0;1508;10555.8;0;0;0;0;0;0;754;0;8293.8;0;6031.9;0;0;0;0;0;0;0;0;0;0;0;0;0;754;0;0;0;0;0;0;2261.9;0;0;0;0;0;0;754;754;0;18849.6;0;0;0;0;0;0;0;0;7539.8;0
0;8293.8;0;31667.3;0;0;0;0;0;0;0;6031.9;15079.6;0;0;0;0;0;0;3769.9;0;2261.9;754;5277.9;0;0;0;0;0;0;0;0;0;0;0;0;0;754;0;0;0;0;0;0;1508;0;0;0;0;0;0;1508;6785.8;0;16587.6;0;0;0;0;0;0;0;0;30913.3;0
3015.9;0;0;28651.3;0;0;0;0;0;0;0;4523.9;2261.9;0;0;0;0;0;0;1508;0;2261.9;0;1508;0;0;0;0;0;0;0;118375.2;0;0;0;0;754;0;0;0;0;0;0;0;0;0;0;0;2261.9;0;0;0;754;0;16587.6;0;0;9047.8;9801.8;0;0;0;0;12817.7;0
20000;12063.7;0;57302.7;5277.9;0;0;0;0;0;0;4523.9;3769.9;0;0;0;0;0;0;754;0;0;0;1508;0;754;0;0;0;0;0;0;0;0;0;0;754;0;0;0;0;0;0;0;2261.9;0;0;0;0;0;0;754;754;0;6785.8;0;0;0;754;1508;0;0;0;0;0
