Date,GR_Q,BR_Q
01/01/2004,1.350673594,3.727859119
02/01/2004,1.336694568,3.689277007
03/01/2004,1.430335102,3.947724882
04/01/2004,0.742294135,2.048731813
05/01/2004,1.785776169,4.928742226
06/01/2004,0.82388746,2.27392939
07/01/2004,2.716388849,7.497233223
08/01/2004,1.48936998,4.110661144
09/01/2004,1.048983855,2.895195441
10/01/2004,0.907622541,2.505038212
11/01/2004,1.683898979,4.647561183
12/01/2004,2.045483672,5.645534935
13/01/2004,1.547764202,4.271829199
14/01/2004,1.812492229,5.002478553
15/01/2004,3.768405507,10.4007992
16/01/2004,1.317094446,3.635180672
17/01/2004,0.540249661,1.491089064
18/01/2004,0.349074951,0.963446864
19/01/2004,0.704332543,1.943957818
20/01/2004,1.097164526,3.028174091
21/01/2004,0.493151854,1.361099118
22/01/2004,1.174780071,3.242392997
23/01/2004,0.75284493,2.077852006
24/01/2004,0.849562768,2.344793241
25/01/2004,0.629269876,1.736784859
26/01/2004,0.363707852,1.003833671
27/01/2004,0.392159263,1.082359565
28/01/2004,0.440045693,1.214526111
29/01/2004,0.353595835,0.975924506
30/01/2004,1.944069782,5.365632599
31/01/2004,6.323973616,17.45416718
01/02/2004,3.876428561,10.69894283
02/02/2004,5.07209999,13.99899597
03/02/2004,1.683624695,4.646804158
04/02/2004,1.200519901,3.313434926
05/02/2004,0.897809398,2.47795394
06/02/2004,0.698789275,1.9286584
07/02/2004,0.483461536,1.33435384
08/02/2004,0.325289939,0.897800231
09/02/2004,0.25850942,0.713486001
10/02/2004,0.826110056,2.280063755
11/02/2004,0.348587452,0.962101366
12/02/2004,0.264553577,0.730167873
13/02/2004,0.276468049,0.763051816
14/02/2004,0.233796508,0.645278363
15/02/2004,0.213656545,0.589692065
16/02/2004,0.227977985,0.629219239
17/02/2004,0.219941899,0.607039643
18/02/2004,0.194651338,0.537237694
19/02/2004,0.184554265,0.50936977
20/02/2004,0.175654568,0.484806609
21/02/2004,0.166528521,0.459618719
22/02/2004,0.161222241,0.444973385
23/02/2004,0.158385204,0.437143163
24/02/2004,0.315799353,0.871606215
25/02/2004,0.329231526,0.908679012
26/02/2004,0.382054102,1.054469322
27/02/2004,0.480563168,1.326354344
28/02/2004,0.58071253,1.602766584
29/02/2004,0.381310556,1.052417134
01/03/2004,0.310688059,0.857499043
02/03/2004,0.29264727,0.807706466
03/03/2004,NA,NA
04/03/2004,NA,NA
05/03/2004,NA,NA
06/03/2004,NA,NA
07/03/2004,NA,NA
08/03/2004,NA,NA
09/03/2004,NA,NA
10/03/2004,0.166477005,0.459476532
