Date,Secchi_D_m,Kd,Euphotic_D_m
01/06/2004,1.98,1.262626263,3.647294787
06/07/2004,2.05,1.219512195,3.776239553
05/08/2004,2.18,1.146788991,4.015708402
18/11/2004,1.8,1.388888889,3.315722534
31/01/2005,1.27,1.968503937,2.339426454
10/03/2005,2.1,1.19047619,3.868342956
11/04/2005,1.7,1.470588235,3.131515726
18/05/2005,1.98,1.262626263,3.647294787
23/06/2005,1.6,1.5625,2.947308919
21/07/2005,1.85,1.351351351,3.407825938
15/09/2005,1.8,1.388888889,3.315722534
19/10/2005,1,2.5,1.842068074
27/02/2006,2.3,1.086956522,4.236756571
28/03/2006,1.6,1.5625,2.947308919
27/04/2006,1.5,1.666666667,2.763102112
24/05/2006,1.8,1.388888889,3.315722534
29/06/2006,1.8,1.388888889,3.315722534
28/07/2006,1.9,1.315789474,3.499929341
14/09/2006,1.5,1.666666667,2.763102112
11/10/2006,1.5,1.666666667,2.763102112
07/11/2006,1.5,1.666666667,2.763102112
06/12/2006,1.2,2.083333333,2.210481689
16/01/2007,1.9,1.315789474,3.499929341
13/02/2007,1.8,1.388888889,3.315722534
23/03/2007,1.5,1.666666667,2.763102112
17/04/2007,2.1,1.19047619,3.868342956
15/05/2007,2.7,0.925925926,4.973583801
14/06/2007,1.9,1.315789474,3.499929341
17/07/2007,1.6,1.5625,2.947308919
08/08/2007,1.6,1.5625,2.947308919
26/09/2007,1.3,1.923076923,2.394688497
24/10/2007,1.8,1.388888889,3.315722534
21/11/2007,1.3,1.923076923,2.394688497
08/02/2008,1.5,1.666666667,2.763102112
18/03/2008,2.5,1,4.605170186
16/04/2008,1.5,1.666666667,2.763102112
21/04/2008,2.8,0.892857143,5.157790608
13/05/2008,2.2,1.136363636,4.052549764
10/06/2008,2.2,1.136363636,4.052549764
02/07/2008,1.8,1.388888889,3.315722534
08/07/2008,2.1,1.19047619,3.868342956
06/08/2008,2.6,0.961538462,4.789376993
15/08/2008,1.8,1.388888889,3.315722534
18/09/2008,1.5,1.666666667,2.763102112
15/10/2008,1.5,1.666666667,2.763102112
24/10/2008,1.5,1.666666667,2.763102112
03/12/2008,1.4,1.785714286,2.578895304
15/01/2009,1.6,1.5625,2.947308919
19/02/2009,2.1,1.19047619,3.868342956
10/03/2009,1.9,1.315789474,3.499929341
01/04/2009,2,1.25,3.684136149
16/04/2009,1.9,1.315789474,3.499929341
12/05/2009,2.1,1.19047619,3.868342956
11/06/2009,1.9,1.315789474,3.499929341
22/06/2009,2,1.25,3.684136149
24/06/2009,2,1.25,3.684136149
06/07/2009,1.8,1.388888889,3.315722534
22/07/2009,1.8,1.388888889,3.315722534
04/08/2009,1.7,1.470588235,3.131515726
17/08/2009,1.9,1.315789474,3.499929341
27/08/2009,1.8,1.388888889,3.315722534
07/09/2009,1.6,1.5625,2.947308919
01/10/2009,1.8,1.388888889,3.315722534
08/10/2009,1.6,1.5625,2.947308919
22/10/2009,1.6,1.5625,2.947308919
06/11/2009,1.2,2.083333333,2.210481689
19/11/2009,1.6,1.5625,2.947308919
22/12/2009,1.8,1.388888889,3.315722534
