Date,AirTmax,AirTmin,Rain,WindSpeed,SolRad
01/01/2004,7.8,3,2,NA,NA
02/01/2004,10,5.6,8.2,NA,NA
03/01/2004,9.8,6,0,NA,NA
04/01/2004,11.5,1.9,9.6,NA,NA
05/01/2004,12.3,4.8,3.9,NA,NA
06/01/2004,11.8,7.2,1.2,NA,NA
07/01/2004,10.5,7.6,17.5,NA,NA
08/01/2004,9.6,5.6,12.3,NA,NA
09/01/2004,10.6,5.6,1,NA,NA
10/01/2004,11.9,6,9.2,NA,NA
11/01/2004,8.3,3.9,8.7,NA,NA
12/01/2004,8.5,4.5,11.8,NA,NA
13/01/2004,7.8,5.7,11.3,NA,NA
14/01/2004,6.2,1.9,15.3,NA,NA
15/01/2004,8.9,3.8,3.1,NA,NA
16/01/2004,9.2,3.5,1.2,NA,NA
17/01/2004,8.7,1.8,0.2,NA,NA
18/01/2004,10.6,0.8,1.1,NA,NA
19/01/2004,10.9,6.3,3.5,NA,NA
20/01/2004,10.7,2.6,0,NA,NA
21/01/2004,11,8.2,1.5,NA,NA
22/01/2004,10.2,7.5,2.8,NA,NA
23/01/2004,10.6,6.5,4.3,NA,NA
24/01/2004,9,5.3,4.3,NA,NA
25/01/2004,8.6,2.8,0,NA,NA
26/01/2004,7.2,0.8,0.8,NA,NA
27/01/2004,6.8,0.5,3,NA,NA
28/01/2004,7.5,2.3,1.4,NA,NA
29/01/2004,7.2,-0.8,7.6,NA,NA
30/01/2004,10,1.7,31.2,NA,NA
31/01/2004,10,5.3,8.8,NA,NA
01/02/2004,12,5.9,27.1,NA,NA
02/02/2004,14.8,7.1,6.6,NA,NA
03/02/2004,12.6,9,1,NA,NA
04/02/2004,12.6,9.2,0,NA,NA
05/02/2004,12.5,8.9,4.2,NA,NA
06/02/2004,9.8,7.2,3.5,NA,NA
07/02/2004,8,7,1.8,NA,NA
08/02/2004,9.2,4.8,0,NA,NA
09/02/2004,10.5,3.5,1.2,NA,NA
10/02/2004,10.7,4.6,0,NA,NA
11/02/2004,10.8,4.9,0,NA,NA
12/02/2004,10,4.3,0.3,NA,NA
13/02/2004,12.3,3.5,0,NA,NA
14/02/2004,10,3.7,0,NA,NA
15/02/2004,9.6,5.4,0,NA,NA
16/02/2004,10.8,5.6,0,NA,NA
17/02/2004,11.2,3.4,0,NA,NA
18/02/2004,9.6,1.8,0,NA,NA
19/02/2004,9.3,0.2,0,NA,NA
20/02/2004,8.5,1.8,0,NA,NA
21/02/2004,8.5,1.8,0.6,NA,NA
22/02/2004,7,4.6,0,NA,NA
23/02/2004,8.9,2.8,1.9,NA,NA
24/02/2004,9.3,3.9,4,NA,NA
25/02/2004,6.9,1.8,5,NA,NA
26/02/2004,5,1.3,8,NA,NA
27/02/2004,5.2,0.5,6.7,NA,NA
28/02/2004,5.6,0.8,0,NA,NA
29/02/2004,8.4,1.5,0,NA,NA
01/03/2004,8.9,-1,0,NA,NA
02/03/2004,9.8,2,2.9,NA,NA
03/03/2004,12.8,5.9,1.7,NA,NA
04/03/2004,12.2,6.4,0.2,NA,NA
05/03/2004,11.8,2.1,0.3,NA,NA
06/03/2004,10.5,2.1,0.5,NA,NA
07/03/2004,11.2,4,0,NA,NA
08/03/2004,9.8,1.5,0,NA,NA
09/03/2004,9.5,1.5,0,NA,NA
10/03/2004,8.1,2,6.5,NA,NA
11/03/2004,8.2,1.6,8.5,NA,NA
12/03/2004,7.5,1.9,2.2,NA,NA
13/03/2004,10.5,1.6,9,NA,NA
14/03/2004,12.3,5.5,1.1,NA,NA
15/03/2004,12.4,7.9,7,NA,NA
16/03/2004,12.3,8,7.7,NA,NA
17/03/2004,13.5,8,6.1,NA,NA
18/03/2004,12.4,7,20.4,NA,NA
19/03/2004,12.6,4.5,13.7,NA,NA
20/03/2004,10.4,5.6,11,NA,NA
21/03/2004,10.3,5,13.9,NA,NA
22/03/2004,9.3,5.4,2.8,NA,NA
23/03/2004,10.4,0.5,1.6,NA,NA
24/03/2004,11.1,3,1.6,NA,NA
25/03/2004,11.5,3.4,0,NA,NA
26/03/2004,12.9,3,0.7,NA,NA
27/03/2004,12.7,7.8,1.8,NA,NA
28/03/2004,11.9,7.6,2.6,NA,NA
29/03/2004,13.6,7.2,0,NA,NA
30/03/2004,13.1,6.2,0,NA,NA
31/03/2004,14.2,6.6,0,NA,NA
01/04/2004,14.2,8.1,3.9,NA,NA
02/04/2004,13.3,7,11,NA,NA
03/04/2004,10.9,6.5,8.2,NA,NA
04/04/2004,11,5.5,8.7,NA,NA
05/04/2004,10.4,6.5,6.2,NA,NA
06/04/2004,11.6,6.4,3.8,NA,NA
07/04/2004,11.2,4.5,1.4,NA,NA
08/04/2004,11.1,3.9,3.2,NA,NA
09/04/2004,14.3,7.4,1.4,NA,NA
10/04/2004,13.1,9.1,0,NA,NA
11/04/2004,12.8,8.3,2.2,NA,NA
12/04/2004,12.9,8.2,3.2,NA,NA
13/04/2004,11.9,8.1,7.5,NA,NA
14/04/2004,12.8,10.5,14.9,NA,NA
15/04/2004,10.5,4.4,4,NA,NA
16/04/2004,13,2.3,3.1,NA,NA
17/04/2004,10.5,4.5,6.4,NA,NA
18/04/2004,9.4,4,2.3,NA,NA
19/04/2004,12.5,3.9,0,NA,NA
20/04/2004,11.6,6.4,12.3,NA,NA
21/04/2004,13.2,8.5,1.3,NA,NA
22/04/2004,14,6.9,2.7,NA,NA
23/04/2004,14,9.1,0,NA,NA
24/04/2004,13.4,11.7,2.8,NA,NA
25/04/2004,16.1,10.4,0.3,NA,NA
26/04/2004,13.8,9.5,1.2,NA,NA
27/04/2004,13.8,7.9,0.7,NA,NA
28/04/2004,13.4,8,0.9,NA,NA
29/04/2004,12.1,7.5,3.4,NA,NA
30/04/2004,13,7.4,0.1,NA,NA
01/05/2004,15.2,9.1,0,NA,NA
02/05/2004,13.6,8.6,0.5,NA,NA
03/05/2004,11.9,7.9,29.4,NA,NA
04/05/2004,11.7,6,16.8,NA,NA
05/05/2004,11.8,6.7,8.9,NA,NA
06/05/2004,11.2,6.9,6.7,NA,NA
07/05/2004,13.9,8,0.2,NA,NA
08/05/2004,16.5,5,0,NA,NA
09/05/2004,14.7,6.1,0,NA,NA
10/05/2004,12.7,10.6,0,NA,NA
11/05/2004,15.4,10,0,NA,NA
12/05/2004,15.2,9.6,0.4,NA,NA
13/05/2004,16.2,10.5,0.2,NA,NA
14/05/2004,16.6,12.4,1.2,NA,NA
15/05/2004,17,12.5,0,NA,NA
16/05/2004,15.5,11.8,1.5,NA,NA
17/05/2004,16,10.4,0,NA,NA
18/05/2004,16.2,9,3.4,NA,NA
19/05/2004,15.5,11.5,0.3,NA,NA
20/05/2004,15.4,9.8,0.2,NA,NA
21/05/2004,15,6.6,0,NA,NA
