Date,wtr_2.5,wtr_5,wtr_8,wtr_11,wtr_14,wtr_16,wtr_18,wtr_20,wtr_22,wtr_27,wtr_32,wtr_42,wtr_mean,ss
01/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/01/2004,6.700832043,6.735157849,6.769483656,6.817291183,6.832170323,6.85068086,6.857289892,6.871444301,6.88059914,6.887353763,6.889960645,6.880636559,6.831075018,-3.88185271
06/01/2004,6.801088889,6.828839722,6.856590556,6.875638194,6.883939583,6.887446944,6.888682361,6.88940375,6.890125,6.890193472,6.890227917,6.88624875,6.872368762,-1.810505062
07/01/2004,6.790310278,6.814422014,6.83853375,6.864297083,6.876963472,6.89163125,6.886386389,6.888305833,6.889748333,6.89023,6.89023,6.89023,6.867607367,-2.132222043
08/01/2004,6.856639722,6.863626042,6.870612361,6.896423194,6.890229167,6.903488681,6.889954861,6.890160972,6.890229583,6.890092222,6.890229583,6.890231389,6.885159815,-0.756309852
09/01/2004,6.827692361,6.846949861,6.866207361,6.8794225,6.8896825,6.890234861,6.890095,6.890197917,6.890198056,6.8901975,6.890231806,6.890231806,6.878445127,-1.295906214
10/01/2004,6.720519861,6.756550417,6.792580972,6.840131806,6.883013333,6.886725,6.888100556,6.889371944,6.890059167,6.888719583,6.890162222,6.890232778,6.851347303,-3.667176208
11/01/2004,6.870470417,6.876708819,6.882947222,6.888103194,6.890200417,6.890200556,6.890161111,6.890234861,6.889424167,6.890196389,6.889938333,6.875842222,6.885368976,-0.368642474
12/01/2004,6.868183056,6.870393681,6.872604306,6.874010417,6.840781528,6.876103889,6.778543889,6.790726111,6.710910833,6.8265375,6.760344861,6.590114028,6.804937841,2.592805626
13/01/2004,6.660403333,6.613576042,6.56674875,6.56515875,6.509368472,6.564675694,6.480753611,6.485700139,6.468274306,6.523843056,6.484408889,6.465136944,6.532337332,3.173434227
14/01/2004,6.465485139,6.465235625,6.464986111,6.46498625,6.464949306,6.464949306,6.46495,6.46495,6.46495,6.46495,6.46495,6.46495,6.465024311,0.008581958
15/01/2004,6.442726528,6.436085139,6.42944375,6.411280139,6.401945417,6.421171667,6.351758194,6.360321528,6.279471944,6.378741528,6.2981125,6.178469444,6.365793981,2.423651395
16/01/2004,6.340944722,6.300518056,6.260091389,6.242243056,6.148394306,6.245318611,6.0842625,6.088246389,6.056170972,6.125271111,6.07566125,6.041297639,6.167368333,4.389657093
17/01/2004,6.09194125,6.077285208,6.062629167,6.07388625,6.044978194,6.099585833,6.040231944,6.039752361,6.039676111,6.039755556,6.039676667,6.006083333,6.05462349,0.802676203
18/01/2004,6.018154722,6.01005375,6.001952778,6.040558333,6.037988194,6.064929444,6.039123194,6.039603472,6.039672083,6.039241806,6.039672083,5.935385,6.025527905,-0.311066697
19/01/2004,6.12196,6.093896042,6.065832083,6.112107361,6.098874306,6.184309028,6.048832361,6.062644306,6.041884583,6.077776944,6.045275,6.039673611,6.082755469,0.79232908
20/01/2004,6.288996389,6.294606389,6.300216389,6.341299167,6.309244861,6.3784975,6.239001389,6.259859167,6.176290833,6.245510833,6.169696806,6.043140556,6.253863356,1.685788539
21/01/2004,6.338634722,6.370247847,6.401860972,6.437024306,6.450296944,6.458870417,6.408518889,6.423140417,6.335090694,6.404973056,6.340781389,6.084845972,6.371190469,0.022688915
22/01/2004,6.400776389,6.371002153,6.341227917,6.377384306,6.4156775,6.428152361,6.429763194,6.442385972,6.446719167,6.458835278,6.463270972,6.408491667,6.41530724,-1.331439744
23/01/2004,6.42382125,6.437056458,6.450291667,6.459456944,6.448092222,6.458971528,6.455369306,6.460581389,6.461692361,6.464000556,6.452692639,6.309468056,6.440124531,-0.286323136
24/01/2004,6.446924861,6.454220486,6.461516111,6.46423,6.464916944,6.464951389,6.464471389,6.464951389,6.46480375,6.4649525,6.464841667,6.410043056,6.457568628,-0.185406268
