Date,Dap_TA,Diaph_TA,Cala_TA,Nau_TA,Cyc_TA,Cerio_TA,Bosm_TA,Zoo_TA,Dap_TB,Diaph_TB,Cala_TB,Nau_TB,Cyc_TB,Cerio_TB,Bosm_TB,Zoo_TB,Dap_RA,Diaph_RA,Cala_RA,Nau_RA,Cyc_RA,Cerio_RA,Bosm_RA,Dap_RB,Diaph_RB,Cala_RB,Nau_RB,Cyc_RB,Cerio_RB,Bosm_RB,Zoo_SizeD,Zoo_SizeMean,Zoo_SizeSD,Zoo_H,Dap_GR,Diaph_GR,Cala_GR,Nau_GR,Cyl_GR,Cerio_GR,Bosm_GR
23/01/2004,2.374,0.011,0.141,0.778,0.786,0,1.268,5.357,12.114,0.032,0.781,0.325,3.23,0,0.731,17.213,44.311,0.198,2.627,14.52,14.678,0,23.667,70.379,0.183,4.534,1.889,18.766,0,4.248,2.70870975,0.633547704,0.40173891,1.389711229,0.009161315,0.00104896,0.00017229,0.006835996,0.000561933,0,0.012304369
25/03/2004,4.953,0.078,0.153,1.716,0.85,0,3.863,11.614,36.845,0.037,0.163,0.614,3.77,0,4.161,45.591,42.652,0.676,1.317,14.777,7.315,0,33.263,80.817,0.082,0.357,1.347,8.27,0,9.126,2.967236484,0.573158678,0.470999673,1.307307688,-0.014454757,-0.000642575,0.00169078,-0.007036722,-0.015078354,0,-0.022362017
22/04/2004,2.972,0.059,0.209,1.23,0.213,0,1.6,6.283,22.135,0.19,0.428,0.434,0.958,0,0.7,24.845,47.3,0.943,3.325,19.583,3.384,0,25.466,89.093,0.765,1.722,1.746,3.857,0,2.818,2.867644485,0.669706664,0.512735784,1.283673281,0.000567001,0.00102367,0.009762264,0.016112582,0.006581417,0,0.029099136
01/06/2004,3.063,0.104,0.786,3.249,0.578,0,7.327,15.106,24.705,0.228,2.155,1.326,1.587,0,3.281,33.281,20.276,0.685,5.206,21.507,3.825,0,48.501,74.231,0.684,6.474,3.984,4.769,0,9.858,NA,NA,NA,1.32436381,-0.01894728,0.042914076,0.044062925,-0.011066817,0.02125564,0,-0.048845063
06/07/2004,1.093,3.956,7.351,1.884,2.32,0,0.507,17.111,16.975,7.101,21.27,0.783,9.308,0,0.268,55.704,6.39,23.117,42.961,11.013,13.558,0,2.961,30.474,12.748,38.183,1.405,16.709,0,0.48,2.260165152,0.730759056,0.292209194,1.530926469,-0.015718171,0.032478556,0.004661247,0.008471642,-0.019328825,0,-0.009787288
05/08/2004,0.306,12.13,8.605,2.719,0.859,0,0.123,24.742,1.199,21.565,16.137,0.912,4.101,0,0.031,43.945,1.238,49.024,34.777,10.99,3.472,0,0.498,2.728,49.072,36.72,2.076,9.333,0,0.071,2.310336547,0.632205813,0.284407485,1.234983859,-0.00326742,0.025248186,0.038551228,0.029857886,0.012010993,0,0.008006852
28/09/2004,0.095,50.33,76.015,17.649,2.556,0,0.731,147.376,0.834,76.924,110.655,6.574,28.473,0,0.605,224.065,0.064,34.151,51.579,11.976,1.734,0,0.496,0.372,34.331,49.385,2.934,12.708,0,0.27,2.273458706,0.597092942,0.247886807,0.953836784,-0.000610079,-0.057409974,-0.04663711,-0.046010444,-0.024715093,0,-0.007899807
15/11/2004,0.063,2.263,7.211,1.049,0.086,0,0.185,10.856,0.337,7.411,16.261,0.348,0.609,0,0.127,25.093,0.584,20.844,66.419,9.662,0.791,0,1.701,1.343,29.535,64.803,1.386,2.426,0,0.506,NA,NA,NA,1.080878787,0.006222235,-0.015319878,-0.005201744,0.015762057,-0.000141691,0,0.009509162
31/01/2005,0.717,0.003,4.501,5.896,0.074,0,1.464,12.655,1.737,0.006,11.96,1.61,0.32,0,0.681,16.313,5.666,0.023,35.565,46.593,0.585,0,11.566,10.648,0.036,73.312,9.867,1.961,0,4.176,2.703344823,0.289817966,0.288218851,1.065979533,-0.000406142,-7.78574E-05,-0.000765853,0.008535623,-0.001069537,0,-0.004980547
10/03/2005,0.691,0,4.343,8.539,0.031,0,1.039,14.642,3.608,0,12.565,2.485,0.599,0,0.694,19.95,4.717,0,29.66,58.314,0.214,0,7.095,18.085,0,62.983,12.454,3,0,3.477,2.418197287,0.297149399,0.305351301,0.973274719,0.009828662,0.005706503,-0.028331739,0.011565768,0.001345416,0,0.007749014
